EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
596,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14890.00,27.26,30.00,30
597,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.27,30.10,31
598,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14970.00,27.28,30.00,30
599,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15000.00,27.28,29.90,30
600,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15440.00,27.29,30.10,31
601,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14940.00,27.29,30.30,30
602,0.99,2,0.001,500,-10,0,1001,0.00,0.50,14940.00,27.30,30.40,30
603,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14980.00,27.30,30.40,30
604,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.31,30.40,31
605,0.99,2,0.001,500,-10,0,1001,0.00,0.08,14930.00,27.31,30.30,30
606,0.99,2,0.001,500,-10,0,1001,0.00,0.06,14360.00,27.31,30.20,29
607,0.99,2,0.001,500,-10,0,1001,0.00,0.02,14360.00,27.32,30.00,29
608,0.99,2,0.001,500,-10,0,1001,0.00,0.25,14920.00,27.32,30.00,30
609,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15490.00,27.33,30.10,31
610,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14890.00,27.33,30.00,30
611,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.34,30.10,31
612,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14980.00,27.34,30.10,30
613,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14930.00,27.35,30.10,30
614,0.99,2,0.001,500,-10,0,1001,0.00,0.06,15450.00,27.35,30.10,31
615,0.99,2,0.001,500,-10,0,1001,0.00,0.33,14960.00,27.36,30.10,30
616,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15430.00,27.36,30.30,31
617,0.99,2,0.001,500,-10,0,1001,0.00,0.50,14950.00,27.37,30.40,30
618,0.99,2,0.001,500,-10,0,1001,0.00,0.33,14960.00,27.37,30.40,30
619,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15000.00,27.37,30.30,30
620,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15490.00,27.38,30.40,31
621,0.99,2,0.001,500,-10,0,1001,0.00,0.06,13820.00,27.38,30.10,28
622,0.99,2,0.001,500,-10,0,1001,0.00,0.04,14400.00,27.38,30.00,29
623,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.39,30.10,31
624,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.40,30.10,31
625,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14990.00,27.40,30.10,30
626,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14920.00,27.40,30.00,30
627,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15480.00,27.41,30.10,31
628,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.41,30.20,31
629,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15490.00,27.42,30.30,31
630,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15490.00,27.43,30.30,31
631,0.99,2,0.001,500,-10,0,1001,0.00,0.02,15500.00,27.43,30.60,31
632,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.44,30.80,31
633,0.99,2,0.001,500,-10,0,1001,0.00,0.04,14930.00,27.44,30.70,30
634,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15500.00,27.45,30.70,31
635,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14960.00,27.45,30.70,30
636,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14950.00,27.46,30.70,30
637,0.99,2,0.001,500,-10,0,1001,0.00,0.02,15450.00,27.46,30.70,31
638,0.99,2,0.001,500,-10,0,1001,0.00,0.02,15500.00,27.47,30.70,31
639,0.99,2,0.001,500,-10,0,1001,0.00,0.07,15490.00,27.47,30.70,31
640,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15440.00,27.48,30.70,31
641,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14950.00,27.48,30.60,30
642,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.49,30.60,31
643,0.99,2,0.001,500,-10,0,1001,0.00,0.02,15500.00,27.49,30.70,31
644,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14910.00,27.50,30.60,30
645,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.50,30.70,31
