EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
798,0.99,2,5.0,100,-10,0,1001,0.62,0.17,2190.00,20.90,24.30,24
799,0.99,2,5.0,100,-10,0,1001,0.13,0.04,2300.00,20.91,24.30,25
800,0.99,2,5.0,100,-10,0,1001,0.36,0.11,2140.00,20.91,24.40,24
801,0.99,2,5.0,100,-10,0,1001,0.15,0.14,2140.00,20.91,24.50,24
802,0.99,2,5.0,100,-10,0,1001,0.21,0.08,2110.00,20.92,24.50,24
803,0.99,2,5.0,100,-10,0,1001,0.08,0.04,2140.00,20.92,24.40,24
804,0.99,2,5.0,100,-10,0,1001,0.20,0.06,1990.00,20.92,24.30,24
805,0.99,2,5.0,100,-10,0,1001,0.56,0.12,2360.00,20.93,24.40,26
806,0.99,2,5.0,100,-10,0,1001,0.56,0.25,2110.00,20.93,24.40,24
807,0.99,2,5.0,100,-10,0,1001,0.11,0.07,2140.00,20.94,24.30,24
808,0.99,2,5.0,100,-10,0,1001,0.50,0.11,2460.00,20.94,24.50,26
809,0.99,2,5.0,100,-10,0,1001,0.11,0.04,2180.00,20.95,24.50,25
810,0.99,2,5.0,100,-10,0,1001,0.07,0.06,2130.00,20.95,24.50,24
811,0.99,2,5.0,100,-10,0,1001,0.12,0.05,2220.00,20.96,24.60,25
812,0.99,2,5.0,100,-10,0,1001,0.14,0.02,2320.00,20.96,24.80,26
813,0.99,2,5.0,100,-10,0,1001,0.07,0.14,2470.00,20.97,25.00,26
814,0.99,2,5.0,100,-10,0,1001,0.17,0.03,2370.00,20.98,25.20,26
815,0.99,2,5.0,100,-10,0,1001,0.10,0.03,2370.00,20.98,25.20,26
816,0.99,2,5.0,100,-10,0,1001,0.07,0.10,2370.00,20.99,25.30,25
817,0.99,2,5.0,100,-10,0,1001,0.14,0.05,2630.00,21.00,25.70,28
818,0.99,2,5.0,100,-10,0,1001,0.09,0.03,2510.00,21.00,25.80,27
819,0.99,2,5.0,100,-10,0,1001,0.07,0.03,2390.00,21.01,25.90,26
820,0.99,2,5.0,100,-10,0,1001,0.07,0.02,2540.00,21.02,26.20,27
821,0.99,2,5.0,100,-10,0,1001,0.13,0.09,2430.00,21.02,26.30,26
822,0.99,2,5.0,100,-10,0,1001,0.28,0.11,2110.00,21.03,26.10,24
823,0.99,2,5.0,100,-10,0,1001,0.07,0.02,2550.00,21.03,26.20,27
824,0.99,2,5.0,100,-10,0,1001,0.07,0.05,2590.00,21.04,26.30,27
825,0.99,2,5.0,100,-10,0,1001,0.71,0.25,2440.00,21.05,26.30,26
826,0.99,2,5.0,100,-10,0,1001,0.29,0.20,2400.00,21.05,26.40,26
827,0.99,2,5.0,100,-10,0,1001,0.09,0.04,2200.00,21.06,26.00,24
828,0.99,2,5.0,100,-10,0,1001,0.09,0.04,2720.00,21.07,26.10,28
829,0.99,2,5.0,100,-10,0,1001,0.13,0.08,2470.00,21.07,26.10,26
830,0.99,2,5.0,100,-10,0,1001,0.09,0.02,2630.00,21.08,26.10,27
831,0.99,2,5.0,100,-10,0,1001,0.07,0.03,2190.00,21.08,25.90,24
832,0.99,2,5.0,100,-10,0,1001,0.10,0.04,2320.00,21.09,26.00,25
833,0.99,2,5.0,100,-10,0,1001,0.12,0.02,2630.00,21.09,26.00,27
834,0.99,2,5.0,100,-10,0,1001,0.07,0.08,2520.00,21.10,26.00,27
835,0.99,2,5.0,100,-10,0,1001,0.07,0.04,1980.00,21.10,25.70,23
836,0.99,2,5.0,100,-10,0,1001,0.09,0.02,2160.00,21.11,25.60,25
837,0.99,2,5.0,100,-10,0,1001,0.33,0.11,2280.00,21.11,25.80,26
838,0.99,2,5.0,100,-10,0,1001,0.45,0.07,2280.00,21.12,25.50,25
839,0.99,2,5.0,100,-10,0,1001,0.71,1.00,2450.00,21.12,25.50,26
840,0.99,2,5.0,100,-10,0,1001,0.09,0.03,2340.00,21.13,25.30,25
