Epsilon;Alpha;Gamma;Epochs_learn;Penalties_learn;Epochs_eval;Penalties_eval;Worked
0.4;0.30000000000000004;0.7000000000000001;2366667;284039;1326;0;True
0.4;0.30000000000000004;0.8;2365823;283932;1301;0;True
0.4;0.30000000000000004;0.9;2358880;282997;1280;0;True
0.4;0.4;0.1;2402545;289085;1272;0;True
0.4;0.4;0.2;2391384;288427;1318;0;True
0.4;0.4;0.30000000000000004;2374473;286013;1317;0;True
0.4;0.4;0.4;2369181;284550;1280;0;True
0.4;0.4;0.5;2368774;284412;1295;0;True
0.4;0.4;0.6;2357278;282854;1325;0;True
0.4;0.4;0.7000000000000001;2356641;282979;1283;0;True
0.4;0.4;0.8;2356291;283363;1304;0;True
0.4;0.4;0.9;2352653;282450;1303;0;True
0.4;0.5;0.1;2386181;286938;1307;0;True
0.4;0.5;0.2;2374626;285631;1303;0;True
0.4;0.5;0.30000000000000004;2363532;283957;1310;0;True
0.4;0.5;0.4;2359430;284111;1293;0;True
0.4;0.5;0.5;2355132;282393;1343;0;True
0.4;0.5;0.6;2356079;283705;1277;0;True
0.4;0.5;0.7000000000000001;2352903;281827;1284;0;True
0.4;0.5;0.8;2352797;282618;1300;0;True
0.4;0.5;0.9;2353336;282450;1316;0;True
0.4;0.6;0.1;2383077;286513;1310;0;True
0.4;0.6;0.2;2358665;284138;1335;0;True
0.4;0.6;0.30000000000000004;2357817;283029;1306;0;True
0.4;0.6;0.4;2355361;282853;1320;0;True
0.4;0.6;0.5;2352610;282679;1290;0;True
0.4;0.6;0.6;2348602;282099;1294;0;True
0.4;0.6;0.7000000000000001;2352732;282852;1314;0;True
0.4;0.6;0.8;2348416;282198;1338;0;True
0.4;0.6;0.9;2348141;282010;1348;0;True
0.4;0.7000000000000001;0.1;2361462;283162;1324;0;True
0.4;0.7000000000000001;0.2;2351928;283161;1307;0;True
0.4;0.7000000000000001;0.30000000000000004;2349236;281956;1309;0;True
0.4;0.7000000000000001;0.4;2345938;281303;1296;0;True
0.4;0.7000000000000001;0.5;2348377;282139;1297;0;True
0.4;0.7000000000000001;0.6;2343285;281639;1331;0;True
0.4;0.7000000000000001;0.7000000000000001;2345335;281847;1321;0;True
0.4;0.7000000000000001;0.8;2347466;280790;1317;0;True
